3	5	129	114
3	133	3	0
3	189	3	1
3	358	2	0
3	366	0	2
3	387	0	2
3	707	0	2
3	847	2	1
3	929	0	2
3	1105	2	1
3	1204	3	2
3	1263	2	0
3	1287	2	0
3	1720	0	2
3	1794	0	2
3	2095	0	2
3	2882	2	0
102	5	2	2
137	5	0	3
196	5	1	2
201	5	5	5
248	5	2	0
251	5	0	2
256	5	0	2
285	5	1	3
293	2420	0	2
332	5	0	2
607	533	2	0
758	5	2	0
803	5	0	2
805	548	2	0
808	5	2	0
937	852	2	0
1084	5	2	0
1203	5	3	1
1341	5	0	2
1554	5	2	0
1633	5	2	1
1653	5	2	0
1740	5	2	1
1820	1204	0	2
1853	5	1	3
1856	5	3	2
1924	5	3	0
2142	5	1	2
2197	5	1	2
2220	5	2	0
2259	5	0	2
2468	5	0	2
2545	5	3	0
2617	3231	2	0
2740	5	0	2
2751	5	2	0
2919	5	2	0
3013	5	2	1
3052	5	2	0
3288	5	1	2
3899	5	2	0
4489	5	2	0
