number_of_components 835
Node_name	sat_assign.	component_no.
EXOC4	1	247
EXOSC10	1	137
EXOSC5	1	248
EXT2	1	249
EZH2	1	250
EZR	1	251
FADD	1	252
FAF1	1	253
FAF2	1	254
FAM49B	1	255
FAM82A2	1	15
FANCI	1	256
FARSB	1	15
FAS	0	21
FBXL5	0	79
FBXO4	0	15
FER	1	257
FGF2	1	258
FHL2	1	259
FHL3	1	260
FHOD1	1	261
FKBP1A	1	262
FKBP8	1	263
FLG	1	264
FLNA	1	265
FMR1	0	31
FNBP1	1	266
FNTA	1	267
FNTB	1	268
FOSL2	1	269
FOXP4	1	270
FRYL	1	271
FTH1	1	272
FTL	1	273
FTSJ3	1	274
FUCA1	1	275
FUS	1	276
FXR2	0	104
FXYD6	1	277
FYN	1	278
FZD7	1	279
G3BP1	1	280
G3BP2	1	281
GABARAP	1	282
GABARAPL1	1	283
GADD45GIP1	0	79
GAN	1	284
GANAB	1	2
GAPDH	1	285
GAR1	0	1
GBAS	1	286
GEMIN4	1	287
GGA3	1	266
GIPC1	1	288
GIT1	1	289
GLMN	1	290
GLRX3	1	291
GNA12	0	155
GNAS	1	292
GNL3L	1	293
GOLGA2	1	294
GOLM1	1	295
GORASP1	1	296
GPAA1	1	297
GRB2	1	298
GSK3B	1	299
GTF2E2	1	300
GYG1	1	301
GYS1	1	302
H1FX	1	47
H2AFX	1	303
H2AFZ	1	304
H3F3A	1	305
HAT1	0	1
HAUS6	1	306
HAUS7	1	307
HBB	1	308
HCFC1	1	309
HDAC1	1	15
HDAC2	0	137
HDAC5	0	15
HDGF	0	137
HES4	1	310
HIC1	0	105
HIF1A	1	238
HIF1AN	1	238
HIP1	0	266
HIPK1	1	311
HIPK3	1	312
HIST1H1C	1	313
HIST1H1D	1	314
HIST1H2BM	1	315
HIST1H3A	0	122
HIST1H4A	1	316
HIST1H4C	1	317
HIST1H4K	1	137
HM13	1	318
HMGA1	1	163
HNRNPC	1	319
HNRNPD	1	15
HNRNPH1	1	15
HNRNPH2	1	15
HNRNPH3	1	320
HNRNPK	1	298
HNRNPL	1	321
HNRNPM	0	15
HNRNPR	1	15
HNRNPU	1	322
HP1BP3	0	137
HSD17B10	0	137
HSP90AA1	1	155
HSP90AB1	1	323
HSPD1	1	324
HSPH1	1	325
HTT	1	326
HYLS1	0	21
HYOU1	1	327
IARS	0	15
ID3	1	328
IFFO1	1	329
IFIT5	1	330
IFRD2	1	331
IFT57	1	266
IGBP1	1	332
IGF2BP3	1	333
IGHA1	1	1
IGKC	0	15
IK	1	334
IKBKAP	1	335
IKBKG	1	336
IL7R	1	1
ILK	0	9
IMMT	1	11
ING3	1	337
ING4	1	338
INO80	1	163
INO80B	1	339
INO80C	1	340
INPP1	0	15
INSIG2	1	341
INTS1	1	342
INTS10	1	343
INTS12	1	344
INTS3	1	345
INTS5	1	346
INTS6	1	347
INTS7	1	346
INTS8	1	343
INTS9	1	348
IPO5	1	349
IPO9	0	1
IQGAP1	0	22
IRAK1	1	350
IRAK2	1	218
IRAK3	1	351
IRAK4	1	352
IRF3	1	353
IRF7	0	350
IRS4	0	2
ISYNA1	1	354
ITGB4	1	243
ITSN1	1	266
ITSN2	1	355
IVD	0	2
JUP	1	356
KAT2A	1	245
KDM2B	0	15
KDM5B	1	357
KDM6A	0	2
KHDRBS2	1	358
KHSRP	0	31
KIAA1377	1	359
KIF5B	1	360
KIFAP3	1	361
KLC1	0	15
KLF6	1	362
KPNA2	1	79
KPNA3	1	363
KPNA4	1	1
KPNB1	1	364
