number_of_components 612
Node_name	sat_assign.	component_no.
EXOC4	1	26
EXOSC10	1	208
EXOSC5	0	99
EXT2	1	209
EZH2	1	210
EZR	1	211
FADD	1	212
FAF1	1	42
FAF2	1	213
FAM49B	0	8
FAM82A2	1	214
FANCI	1	115
FARSB	1	215
FAS	1	212
FBXL5	1	216
FBXO4	1	217
FER	1	218
FGF2	0	8
FHL2	1	219
FHL3	1	110
FHOD1	1	147
FKBP1A	1	220
FKBP8	0	17
FLG	1	221
FLNA	1	222
FMR1	1	223
FNBP1	1	224
FNTA	1	225
FNTB	1	225
FOSL2	0	17
FOXP4	0	8
FRYL	1	214
FTH1	1	226
FTL	1	227
FTSJ3	0	157
FUCA1	1	228
FUS	1	17
FXR2	1	229
FXYD6	1	7
FYN	1	230
FZD7	1	231
G3BP1	1	50
G3BP2	0	50
GABARAP	1	232
GABARAPL1	1	233
GADD45GIP1	1	136
GAN	0	8
GANAB	1	234
GAPDH	0	8
GAR1	1	235
GBAS	1	236
GEMIN4	0	207
GGA3	1	237
GIPC1	1	238
GIT1	1	147
GLMN	1	220
GLRX3	1	239
GNA12	1	240
GNAS	1	241
GNL3L	1	242
GOLGA2	1	243
GOLM1	0	8
GORASP1	1	243
GPAA1	1	147
GRB2	0	147
GSK3B	0	51
GTF2E2	1	244
GYG1	0	7
GYS1	1	245
H1FX	1	246
H2AFX	1	29
H2AFZ	0	8
H3F3A	0	109
HAT1	1	247
HAUS6	1	248
HAUS7	1	248
HBB	0	142
HCFC1	1	249
HDAC1	1	250
HDAC2	1	92
HDAC5	1	251
HDGF	1	252
HES4	1	253
HIC1	1	254
HIF1A	1	255
HIF1AN	1	256
HIP1	1	257
HIPK1	0	8
HIPK3	1	110
HIST1H1C	0	17
HIST1H1D	0	8
HIST1H2BM	0	8
HIST1H3A	1	258
HIST1H4A	0	17
HIST1H4C	0	17
HIST1H4K	1	259
HM13	1	8
HMGA1	1	260
HNRNPC	1	261
HNRNPD	1	262
HNRNPH1	1	263
HNRNPH2	1	264
HNRNPH3	0	20
HNRNPK	1	265
HNRNPL	1	266
HNRNPM	1	267
HNRNPR	1	268
HNRNPU	0	31
HP1BP3	1	269
HSD17B10	1	270
HSP90AA1	1	271
HSP90AB1	1	207
HSPD1	1	272
HSPH1	0	17
HTT	1	17
HYLS1	1	273
HYOU1	0	29
IARS	1	251
ID3	0	82
IFFO1	0	12
IFIT5	1	274
IFRD2	0	50
IFT57	1	257
IGBP1	1	91
IGF2BP3	1	262
IGHA1	1	8
IGKC	1	275
IK	1	147
IKBKAP	1	276
IKBKG	1	277
IL7R	1	278
ILK	1	279
IMMT	1	280
ING3	1	17
ING4	1	281
INO80	1	282
INO80B	1	283
INO80C	0	283
INPP1	1	284
INSIG2	1	57
INTS1	1	78
INTS10	1	285
INTS12	1	286
INTS3	0	286
INTS5	1	287
INTS6	1	78
INTS7	1	288
INTS8	1	289
INTS9	0	8
IPO5	1	232
IPO9	1	290
IQGAP1	1	291
IRAK1	1	292
IRAK2	1	293
IRAK3	1	294
IRAK4	1	294
IRF3	1	295
IRF7	1	296
IRS4	1	297
ISYNA1	0	8
ITGB4	1	298
ITSN1	0	257
ITSN2	1	222
IVD	1	299
JUP	0	33
KAT2A	1	300
KDM2B	1	301
KDM5B	0	194
KDM6A	1	302
KHDRBS2	0	262
KHSRP	1	303
KIAA1377	1	304
KIF5B	0	33
KIFAP3	1	305
KLC1	0	214
KLF6	0	184
KPNA2	1	306
KPNA3	0	8
KPNA4	1	307
KPNB1	1	308
KRR1	1	309
KRT14	0	33
KRT15	1	33
KRT31	1	310
KRT35	1	8
KRT4	1	311
KRTAP4-12	1	312
LARP1	1	313
LDB1	1	314
LDOC1	1	242
LETM1	0	8
LIMA1	1	315
LIN7C	1	25
LLGL1	1	233
LLGL2	1	8
LONP1	0	8
LPGAT1	1	8
LSM10	1	316
LSM2	1	54
LSM5	1	317
LSM7	1	54
LTA4H	0	8
M6PR	0	8
MAGEA1	1	318
MAGEA12	1	8
MAGEH1	0	17
MAOA	0	8
MAP1B	1	7
MAP1LC3B	1	319
MAP3K1	1	320
MAP3K8	1	321
MAP4	1	252
MAPK1	1	322
MAPK13	1	50
MAPK14	1	8
MAPK3	1	323
MAPK6	1	207
MAPK8	1	324
MAPK8IP2	1	57
MARK1	0	228
MARK2	0	228
MARK3	1	228
MARK4	1	17
MAVS	1	325
MBOAT7	1	326
MCM10	1	8
MCM3	1	327
MCM4	0	43
MCM5	1	96
MCM6	1	207
MCRS1	1	328
MDM2	1	329
MED1	1	330
MED10	1	331
MED13L	1	331
MED15	1	331
MED16	0	8
MED17	1	332
MED18	1	333
MED19	1	334
MED20	0	8
MED23	1	335
MED25	1	336
MED26	1	337
MED28	1	336
MED4	1	338
MED8	0	333
MED9	1	332
MEF2C	1	339
MEPCE	0	181
MFAP1	1	17
MGMT	0	181
MGRN1	0	7
MIB1	1	340
MICALL1	1	214
MLF1IP	1	341
MLH1	1	342
MLL	0	33
MLLT3	0	88
MLLT4	1	343
MNAT1	0	98
MORF4L1	1	199
MORF4L2	1	250
MPP6	1	227
MPRIP	1	31
MRPL20	1	8
MRPL45	1	50
MRPS27	1	344
MRTO4	0	101
MSH2	1	345
MSX1	1	346
MTMR8	1	8
MYC	0	308
MYH10	0	33
MYOZ1	1	12
NACAD	1	347
NADK	1	348
NAP1L4	1	349
NBN	1	350
NCKAP1	1	102
NCOA2	1	351
NCOA6	1	8
NCOR2	1	352
NDC80	1	353
NDEL1	1	26
NDNL2	1	354
NDRG1	1	109
NDUFV2	1	355
NEDD4L	1	356
NEDD8	1	357
NEO1	0	8
NET1	1	190
NFKB1	0	321
NFKB2	0	8
NFRKB	1	17
NFYB	1	147
NFYC	0	15
NHP2L1	1	17
NIPSNAP3A	1	276
NKIRAS2	1	358
NKRF	1	359
NME7	0	8
NOLC1	0	17
NONO	0	109
NOP10	1	360
NOP14	1	361
NOP56	0	109
NPEPPS	1	236
NPLOC4	0	57
NPM1	0	135
NPM3	0	8
NR1D1	1	362
NR1I2	0	57
NR2E3	1	363
NR2F2	1	364
NR2F6	1	365
NR4A1	1	366
NRAS	1	367
NRIP1	1	368
NSF	1	369
NSFL1C	1	370
NSMAF	0	8
NUDC	1	371
NUDT21	1	8
NUDT3	1	372
NUP205	0	17
NUP214	0	50
NUP62CL	1	373
NXF1	1	374
OGT	1	373
OLA1	1	375
OPTN	1	376
OS9	1	377
OSBPL8	1	378
OTUD5	1	379
P4HA1	1	308
PAAF1	1	380
PACSIN2	1	381
PACSIN3	0	166
PAFAH1B1	1	382
PAICS	1	383
PAK1	1	384
PAK7	0	41
PARD6A	1	385
PARD6B	1	233
PARD6G	1	386
PARP1	1	387
PAWR	1	388
PBRM1	1	389
PCBD1	0	53
PCBD2	1	390
PCBP1	0	17
PCBP2	0	266
PCGF1	1	391
PCGF2	0	8
PCK1	0	130
PCNA	1	80
PCSK5	0	34
PDCD4	0	8
PDCD5	1	392
PDE6D	1	393
PDLIM1	1	394
PDLIM7	1	161
PDPK1	1	395
PDS5A	1	17
PEG10	1	396
PEX19	1	397
PFAS	1	398
PFDN1	1	353
PFDN5	1	399
PFDN6	1	400
PGR	1	57
PHC3	1	401
PHF15	1	402
PHF21A	1	17
PHF8	1	403
PHIP	1	144
PHLDB2	0	158
PHYHIP	1	404
PIAS1	1	405
PIH1D1	1	406
PIK3R1	1	135
PIM1	1	407
PINX1	1	408
PIP	0	8
PITRM1	0	8
PKM2	1	29
PKN2	0	395
PLA2G16	0	8
PLDN	1	409
PLK1	1	410
PLOD2	1	411
PLRG1	1	412
PLSCR1	1	413
PLSCR3	0	8
PLSCR4	1	414
PML	1	415
PMPCB	1	8
PMS2	0	5
PNKP	1	8
PNMA1	1	385
PNO1	0	184
PNPLA2	1	416
POLA2	1	48
POLE3	1	417
POLR2A	0	90
POLR2B	0	403
POLR2C	1	331
POLR2D	1	418
POLR2E	1	277
POLR2F	1	334
POLR2J	1	192
POLR3A	1	419
POLR3D	1	420
POT1	1	421
POU3F2	1	422
PPFIA1	1	8
PPID	0	8
PPIE	0	33
PPIH	1	423
PPM1G	1	207
PPME1	1	8
PPP1CB	1	424
PPP1R12A	1	425
PPP2CB	1	426
PPP2R1A	1	427
PPP2R2C	0	272
PPP2R2D	1	428
PPP4C	0	90
PQBP1	0	20
PRC1	1	429
PRDX4	1	430
PRIM2	0	17
PRKAA2	0	7
PRKAB1	0	7
PRKAG2	1	7
PRKAR1A	0	84
PRKAR2A	1	36
PRKCI	1	385
PRKCZ	1	388
PRKDC	0	8
PRKRA	1	359
PRMT1	1	431
PRMT5	1	432
PRPF19	1	433
PRPF3	1	109
PRPF31	1	187
PRPF4	0	181
PRPF40A	0	5
PRPF8	1	207
PRSS23	0	57
PSD3	1	434
PSMA1	1	8
PSMA2	1	130
PSMA4	1	8
PSMA7	1	435
PSMB1	1	436
PSMB4	1	8
PSMB5	0	380
PSMB7	1	17
PSMB8	1	437
PSMB9	1	438
PSMC1	0	8
PSMC2	1	8
PSMC4	1	8
PSMC5	1	439
PSMC6	1	380
PSMD1	1	440
PSMD10	1	441
PSMD11	0	17
PSMD12	0	17
PSMD13	1	442
PSMD14	1	443
PSMD2	1	17
PSMD3	1	443
PSMD4	0	17
PSMD6	1	380
PSMD7	1	444
PSTPIP1	1	445
PTCD3	1	446
PTK2	1	447
PTP4A1	1	448
PTP4A2	0	225
PTPN14	1	33
PTPN2	1	8
PTPRF	1	8
PTTG1	1	8
PUM2	1	338
PVRL2	0	49
PWP1	0	109
PWP2	1	449
QARS	1	450
QKI	1	451
QPRT	1	452
RAB10	0	8
RAB1A	1	453
RAB22A	1	454
RAB37	0	207
RAB7L1	1	8
RAB8A	1	455
RABAC1	1	456
RABEP1	1	457
RAD21	1	110
RAD23A	1	458
RAD50	1	459
RAD51	1	460
RAD9A	1	8
RAE1	1	461
RAF1	1	462
RAI14	1	214
RALA	0	8
RALY	1	463
RAN	0	8
RAP1A	1	393
RARG	1	464
RARS	0	8
RB1	0	295
RB1CC1	1	465
RBBP4	1	466
RBBP6	1	8
RBBP7	1	249
RBCK1	1	467
RBL2	1	468
RBM25	1	469
RBM28	1	109
RBM39	1	470
RBM42	0	8
RBM6	1	17
RBMX	1	207
RBPMS	1	173
RCC1	1	42
RCL1	1	252
RCOR1	1	471
RECQL5	1	350
RELB	0	321
RFK	1	453
RGL2	1	472
RGS2	0	147
RHOXF2	1	473
RIC8A	1	474
RICTOR	1	475
RIN1	1	343
RIPK1	0	8
RNF10	1	476
RNF130	1	8
RNF166	1	477
RNF167	1	478
RNF185	1	439
RNF2	0	8
RNF219	0	17
RNF38	1	8
RNF5	0	8
RNPS1	1	8
ROBO1	1	479
RPA1	1	42
RPA2	1	480
RPAP1	0	403
RPAP2	1	90
RPL10	1	207
RPL13A	1	8
RPL15	1	481
RPL17	1	482
RPL18	1	483
RPL21	1	484
RPL3	0	109
RPL30	1	8
RPL34	0	8
RPL38	1	485
RPL4	1	486
RPL6	1	487
RPL7	1	488
RPL7A	0	8
RPL7L1	1	489
RPP38	0	8
RPS12	1	490
RPS13	1	491
RPS16	0	17
RPS23	1	492
RPS26	1	493
RPS29	1	494
RPS3A	1	179
RPS4X	0	109
RPS6KA6	1	495
RRP1B	1	496
RTCD1	1	8
RUNX1	1	497
RUNX1T1	1	498
RUVBL1	1	11
RUVBL2	1	499
RXRA	1	500
RXRB	0	17
RYBP	0	65
RYK	1	102
SALL1	1	17
SAP18	1	43
SAP30	1	501
SART3	1	54
SASS6	0	424
SCAND1	1	8
SCFD1	1	502
SCMH1	1	503
SCML1	0	401
SCYL2	1	31
SDHC	0	37
SEC23IP	1	504
SEC31A	1	230
SEC63	1	8
SEPT5	0	8
SERPINH1	1	505
SET	1	506
SETD1A	1	45
SF3A1	1	507
SF3A2	0	109
SF3B1	1	508
SF3B2	1	109
SF3B3	0	106
SF3B5	1	509
SFN	0	8
SH3BP4	0	105
SH3GL3	1	510
SH3KBP1	1	511
SHC1	0	8
SHFM1	1	8
SIN3B	0	8
SIRT1	1	272
SIRT7	0	207
SKP1	1	512
SKP2	0	124
SLC12A3	0	8
SLC25A3	1	17
SLC25A5	1	513
SLC25A6	1	312
SLC2A1	1	238
SMAD3	0	8
SMARCA2	1	514
SMARCA4	1	515
SMARCA5	1	17
SMARCAD1	1	92
SMARCC2	1	516
SMARCD2	0	92
SMC3	1	517
SMC4	0	250
SMC6	1	518
SMCR7	1	519
SMCR7L	1	318
SMEK1	1	520
